Word1,Word2,Level
cat,hat,7
dog,log,4
tree,free,8
day,say,5
night,light,7
bright,right,10
sun,run,3
moon,spoon,7
car,star,8
bear,chair,5
book,look,4
pen,hen,8
mouse,house,8
cake,bake,3
lake,snake,6
train,rain,5
plane,pain,2
ball,tall,8
wall,call,6
small,tall,2
bee,free,5
key,sea,1
tea,free,10
me,tree,6
see,bee,9
fly,sky,1
cry,try,10
pie,tie,3
high,sigh,7
blue,TRUE,4
new,knew,9
shoe,two,3
cold,old,5
gold,told,3
bold,sold,7
rose,toes,5
nose,toes,9
close,toes,7
coat,boat,2
goat,float,4
note,vote,9
rope,hope,2
soap,hope,10
cope,hope,9
sing,ring,10
king,wing,5
spring,thing,2
sand,hand,4
land,band,7
stand,band,8
fan,man,3
can,plan,1
pan,man,4
rat,cat,2
bat,mat,8
fat,cat,4
pig,big,2
dig,wig,6
fig,big,6
hill,will,10
pill,will,4
still,will,6
bell,tell,2
sell,well,10
smell,tell,2
duck,luck,10
truck,luck,4
stuck,luck,8
jump,lump,7
bump,lump,9
plump,lump,8
fish,dish,5
wish,dish,2
swish,dish,5
play,say,8
gray,say,10
way,say,9
round,sound,9
found,sound,1
ground,sound,9
down,town,7
brown,town,9
clown,town,8
loud,cloud,1
proud,cloud,8
shroud,cloud,8
sheep,deep,3
keep,deep,1
sleep,deep,8
feet,meet,3
sweet,meet,3
street,meet,1
read,lead,5
seed,lead,10
need,lead,7
head,bed,10
red,bed,9
fed,bed,7
thread,bed,9
bread,bed,8
dead,bed,2
plant,slant,1
grant,slant,7
want,aunt,7
chant,aunt,8
dance,chance,5
glance,chance,3
prance,chance,8
peach,reach,6
teach,reach,3
beach,reach,1
pitch,stitch,3
witch,stitch,5
ditch,stitch,3
rich,which,1
itch,which,5
niche,which,10
frown,down,7
gown,town,7
clown,brown,9
crown,down,10
town,brown,10
down,frown,3
brown,clown,7
sound,round,1
bound,found,4
ground,sound,4
pound,found,5
mound,found,7
mouse,spouse,7
house,spouse,4
blouse,spouse,7
browse,spouse,3
rouse,spouse,6
lace,place,2
face,place,10
grace,place,9
base,case,5
chase,case,6
space,case,4
race,place,10
pace,place,7
trace,place,9
time,dime,7
lime,dime,1
crime,dime,1
chime,dime,9
prime,dime,9
rhyme,dime,4
vine,dine,9
line,dine,3
mine,dine,7
shine,dine,6
pine,dine,8
fine,dine,9
goat,float,5
boat,float,1
moat,float,3
wrote,float,10
note,vote,8
quote,vote,6
dote,vote,8
tote,vote,9
groan,own,4
stone,own,1
throne,own,1
bone,own,10
phone,own,4
cone,own,7
zone,own,2
pail,tail,3
mail,tail,1
sail,tail,5
whale,tail,1
scale,tail,8
trail,tail,1
fail,tail,1
tale,scale,2
vale,scale,2
male,scale,6
sale,scale,7
pale,scale,5
heel,feel,1
wheel,feel,1
deal,feel,3
steal,feel,2
meal,feel,5
real,feel,10
peel,feel,6
seal,feel,7
steel,feel,4
reel,feel,7
kneel,feel,8
teal,feel,1
zeal,feel,6
veil,fail,8
wail,fail,5
frail,fail,4
snail,fail,2
grail,fail,6
avail,fail,6
detail,tail,1
retail,tail,9
prevail,tail,6
curtain,certain,3
mountain,fountain,4
kitten,written,4
bitten,written,3
smitten,written,10
hidden,written,3
mittens,kittens,3
victims,systems,4
rhythm,written,7
wisdom,system,4
prism,system,9
thorn,born,1
worn,born,8
sworn,born,7
scorn,born,2
torn,born,8
dawn,lawn,1
pawn,lawn,9
yawn,lawn,9
drawn,lawn,2
fawn,lawn,7
brawn,lawn,10
gone,upon,3
anon,upon,7
swoon,noon,10
soon,noon,9
spoon,noon,4
tune,moon,1
dune,moon,2
rune,moon,1
boon,noon,5
prune,moon,5
june,moon,7
croon,noon,9
lagoon,noon,9
buffoon,noon,3
immune,tune,3
commune,tune,3
opportune,tune,4
fortune,importune,8
cartoon,moon,6
tycoon,moon,8
maroon,noon,1
harpoon,noon,8
baboon,noon,4
raccoon,noon,1
typhoon,moon,8
saloon,noon,4
platoon,moon,6
festoon,moon,8
spittoon,moon,4
bassoon,noon,3
grandeur,wander,9
standard,wander,3
meander,wander,9
commander,wander,2
surrender,wander,2
slender,render,2
tender,render,6
bender,render,3
fender,render,9
gender,render,4
lender,render,1
mender,render,4
splendor,render,1
pretender,render,5
defender,render,4
offender,render,8
ascender,render,8
descender,render,7
contender,render,3
suspender,render,1
calendar,vendor,1
vendor,fender,3
word1,word2,6
clue,glue,7
crew,knew,6
threw,blue,6
flew,new,6
stew,through,3
cue,you,6
view,through,8
issue,tissue,2
missile,whistle,5
thistle,bristle,1
pistol,crystal,1
vessel,wrestle,5
muscle,rustle,3
puzzle,muzzle,4
struggle,juggle,3
snuggle,muggle,1
giggle,wiggle,1
crackle,tackle,5
shackle,cackle,6
sprinkle,wrinkle,3
twinkle,sprinkle,9
crinkle,twinkle,5
drizzle,fizzle,8
sizzle,drizzle,1
whittle,little,5
riddle,middle,3
fiddle,riddle,1
tickle,pickle,4
wriggle,giggle,5
wrestle,nestle,7
bustle,rustle,1
hustle,rustle,3
jostle,apostle,2
throttle,bottle,9
model,waddle,10
toddle,model,6
coddle,model,10
nodule,module,3
globule,nodule,8
capsule,granule,8
granule,manual,2
annual,manual,6
casual,visual,7
usual,casual,2
refusal,usual,10
proposal,usual,2
disposal,usual,10
